ID;Инициатива;Волна;Экономия (ч/мес);Сложность (1-5);Уровень;Ставка (₽/ч);Месячная экономия (₽);Единовременные затраты (₽);Ежемесячные затраты (₽);Годовая экономия (₽);Годовые затраты (₽);Срок окупаемости (мес);ROI за год (%);Рекомендация
AUTO-021;Переадресация звонков по номеру региона;2;9;3;L3;595;5355;300000;0;64260;0;56;-79%;ОТЛОЖИТЬ
AUTO-022;ИИ-анализ качества звонков (Speech Analytics);2;15;4;L3;595;8925;1500000;15000;107100;180000;-;-98%;ОТКЛОНИТЬ
AUTO-023;Единая платформа учёта отсутствий;2;13;3;L3;595;7735;350000;0;92820;0;45;-73%;ОТЛОЖИТЬ
AUTO-024;Интеграция мессенджеров с CRM Битрикс24;1;28;3;L3;595;16660;500000;3000;199920;36000;38;-67%;ОТЛОЖИТЬ
AUTO-025;Шаблоны КП с автозаполнением из САМО;1;33;2;L3;595;19635;200000;0;235620;0;10;18%;ВНЕДРЯТЬ
AUTO-026;ИИ-генерация маркетинговых визуалов;1;17;1;L3;595;10115;50000;2000;121380;24000;6;95%;ВНЕДРЯТЬ
AUTO-027;Шаблоны задач для мероприятий в Битрикс24;1;17;2;L3;595;10115;100000;0;121380;0;10;21%;ВНЕДРЯТЬ
AUTO-028;Авторассылка напоминаний об участии в мероприятиях;1;9;2;L3;595;5355;100000;0;64260;0;19;-36%;ОТЛОЖИТЬ
AUTO-029;BI-аналитика по MICE-сегменту (Power BI);1;17;3;L2;1190;20230;400000;0;242760;0;20;-39%;ВНЕДРЯТЬ (MICE)
AUTO-030;Мониторинг тендеров (тендерные площадки);1;13;2;L3;595;7735;100000;0;92820;0;13;-7%;ВНЕДРЯТЬ
AUTO-031;Power BI для финансовой отчётности (замена Excel P&L);2;55;3;L1;1786;98230;2000000;15000;1178760;180000;16;-45%;ВНЕДРЯТЬ (директор финансов)
AUTO-032;Автокатегоризация расходов в 1С;2;26;3;L3;595;15470;500000;0;185640;0;32;-63%;ОТЛОЖИТЬ
AUTO-033;Создание задач из входящих писем (Outlook → Битрикс24);2;13;2;L3;595;7735;150000;0;92820;0;19;-38%;ОТЛОЖИТЬ
AUTO-034;Автопроверка ошибок в тарификации;2;17;3;L2;1190;20230;350000;0;242760;0;17;-31%;ВНЕДРЯТЬ (тарификация)
AUTO-035;Синхронизация агентов САМО → Битрикс24;1;18;3;L3;595;10710;350000;0;128520;0;33;-63%;ОТЛОЖИТЬ
AUTO-036;Шаблоны ответов в Outlook (Quick Parts);1;7;1;L3;595;4165;30000;0;49980;0;7;67%;ВНЕДРЯТЬ
AUTO-037;Платформа пульс-опросов HR (eNPS, вовлечённость);1;7;2;L3;595;4165;80000;0;49980;0;19;-38%;ОТЛОЖИТЬ
AUTO-038;LMS-система учёта обучения (iSpring / Teachbase);2;11;3;L3;595;6545;350000;5000;78540;60000;-;-100%;ОТКЛОНИТЬ
AUTO-039;Авто-отправка договоров и ваучеров после оплаты;1;18;2;L3;595;10710;150000;3000;128520;36000;20;-38%;ОТЛОЖИТЬ
AUTO-040;Автоопределение федерального округа по городу;1;5;1;L3;595;2975;30000;0;35700;0;10;19%;ВНЕДРЯТЬ (тривиально)
AUTO-041;Автоматизация согласований в Битрикс24 (workflow);1;11;2;L3;595;6545;120000;0;78540;0;18;-35%;ОТЛОЖИТЬ
AUTO-042;Шаблоны интеграций для партнёров (DMC-библиотека);1;7;3;L3;595;4165;150000;0;49980;0;36;-67%;ОТЛОЖИТЬ
AUTO-043;Автоуведомления агентам о статусах заявок;1;40;2;L3;595;23800;200000;3000;285600;36000;10;25%;ВНЕДРЯТЬ
AUTO-044;Контроль кредитных лимитов агентств (алерты + блокировки);2;17;3;L2;1190;20230;400000;0;242760;0;20;-39%;ВНЕДРЯТЬ (финансовый риск)
AUTO-045;Автодиспетчер заявок (28 направлений маршрутизации);1;25;3;L3;595;14875;500000;0;178500;0;34;-64%;ОТЛОЖИТЬ
AUTO-046;Интеграция U-ON.Travel ↔ САМО + 1С (франчайзинг);2;17;4;L3;595;10115;1500000;0;121380;0;148;-92%;ОТЛОЖИТЬ
AUTO-047;Compliance-автоматизация (ЕФРТА + Турпомощь);2;8;3;L3;595;4760;300000;0;57120;0;63;-81%;ВНЕДРЯТЬ (compliance)
AUTO-048;Авторотация рекламных кампаний;1;22;2;L3;595;13090;150000;0;157080;0;11;5%;ВНЕДРЯТЬ
DASH-01;P&L отчётность (Profit & Loss);2;55;4;L1;1786;98230;2000000;15000;1178760;180000;16;-45%;ВНЕДРЯТЬ (в составе AUTO-031)
DASH-02;Контроль тайм-лимитов авиабилетов (дашборд);1;40;2;L2;1190;47600;100000;0;571200;0;2;471%;ВНЕДРЯТЬ (в составе AUTO-001)
DASH-03;Invoice Tracker — замена Google Таблиц;1;26;3;L3;595;15470;100000;0;185640;0;6;86%;ВНЕДРЯТЬ (в составе AUTO-006)
DASH-04;Воронка Lead-to-Cash (Битрикс24 + САМО);1;18;3;L2;1190;21420;300000;0;257040;0;14;-14%;ВНЕДРЯТЬ
DASH-05;Ценообразование и маржинальность (тарификация);2;55;4;L1;1786;98230;1500000;15000;1178760;180000;15;-34%;ВНЕДРЯТЬ
DASH-06;RoiStat — сквозная аналитика маркетинга;1;33;2;L3;595;19635;200000;0;235620;0;10;18%;ВНЕДРЯТЬ (в составе AUTO-012)
DASH-07;Cash Flow — платёжный календарь;1;22;3;L2;1190;26180;200000;0;314160;0;8;57%;ВНЕДРЯТЬ (в составе AUTO-014)
DASH-08;Дебиторская и кредиторская задолженность;1;13;3;L2;1190;15470;200000;0;185640;0;13;-7%;ВНЕДРЯТЬ
DASH-09;MICE-сегмент (воронка, выручка, клиенты);1;17;3;L2;1190;20230;200000;0;242760;0;10;21%;ВНЕДРЯТЬ (в составе AUTO-029)
DASH-10;Качество звонков (Speech Analytics);2;15;3;L3;595;8925;300000;0;107100;0;34;-64%;ОТЛОЖИТЬ (в составе AUTO-022)
DASH-11;Контроль отсутствий (единый календарь);2;13;3;L3;595;7735;200000;0;92820;0;26;-54%;ОТЛОЖИТЬ (в составе AUTO-023)
DASH-12;Контроль полноты документов по заявкам;1;22;2;L3;595;13090;150000;0;157080;0;11;5%;ВНЕДРЯТЬ (в составе AUTO-002)
DASH-13;HR-аналитика (вовлечённость, обучение, текучесть);2;7;3;L3;595;4165;200000;0;49980;0;48;-75%;ОТЛОЖИТЬ
DASH-14;Мероприятия и кампании (план, бюджет, ROI);1;6;2;L3;595;3570;100000;0;42840;0;28;-57%;ОТЛОЖИТЬ
DASH-15;Мониторинг IT и интеграций (uptime, ошибки);2;7;3;L3;595;4165;200000;0;49980;0;48;-75%;ОТЛОЖИТЬ
DASH-16;Входящие обращения по каналам (SLA, каналы);1;11;3;L3;595;6545;200000;0;78540;0;31;-61%;ОТЛОЖИТЬ
